Player name,Joined,Last Online,Scraping time,Last Online chess.com server time
Sirfinkles,"Jul 26, 2022","Dec 7, 2022",2023-04-04 09:41:36,2022-12-07 00:00:00
MatiasKei,"Feb 5, 2022",14 hours ago,2023-04-04 09:41:41,2023-04-03 00:41:41
TenthHaircut421,"Aug 23, 2022",6 hours ago,2023-04-04 09:41:46,2023-04-03 08:41:46
gilak1010,"Nov 24, 2020",14 hours ago,2023-04-04 09:41:51,2023-04-03 00:41:51
ananabehtbob,"Dec 8, 2022",8 hours ago,2023-04-04 09:41:55,2023-04-03 06:41:55
test56784,"Apr 14, 2022",7 hours ago,2023-04-04 09:42:00,2023-04-03 07:42:00
Yumeno_Udagawa,"Mar 20, 2022","Mar 1, 2023",2023-04-04 09:42:05,2023-03-01 00:00:00
Jefri2007,"Aug 23, 2021",11 hours ago,2023-04-04 09:42:10,2023-04-03 03:42:10
BobRossC00chie,"Jun 20, 2020",7 days ago,2023-04-04 09:42:14,2023-03-27 14:42:14
curxedl1fe,"Mar 16, 2023",7 hours ago,2023-04-04 09:42:19,2023-04-03 07:42:19
Xomeni,"Dec 17, 2022",1 hour ago,2023-04-04 09:42:24,2023-04-03 13:42:24
SuperSFoot,"Nov 9, 2022",11 hours ago,2023-04-04 09:42:28,2023-04-03 03:42:28
tera770,"Mar 18, 2022",10 hours ago,2023-04-04 09:42:34,2023-04-03 04:42:34
TheLonelyRat,"Feb 15, 2023",Just now,2023-04-04 09:42:38,2023-04-03 14:42:38
idk_what_im_doing_as_well,"Aug 27, 2022","Nov 20, 2022",2023-04-04 09:42:43,2022-11-20 00:00:00
chessJPN,"Aug 18, 2017",33 minutes ago,2023-04-04 09:42:48,2023-04-03 14:09:48
s1e2r3p4,"Nov 9, 2022","Dec 24, 2022",2023-04-04 09:42:52,2022-12-24 00:00:00
Tylerf11,"Sep 28, 2022",2 days ago,2023-04-04 09:42:57,2023-04-01 14:42:57
hyo113,"Aug 4, 2022",Just now,2023-04-04 09:43:02,2023-04-03 14:43:02
dolhpinxd,"Oct 25, 2021",5 hours ago,2023-04-04 09:43:07,2023-04-03 09:43:07
Azzam_22,"Feb 20, 2023",27 days ago,2023-04-04 09:43:12,2023-03-07 14:43:12
Keitajr15,"Jan 20, 2023","Jan 26, 2023",2023-04-04 09:43:17,2023-01-26 00:00:00
eizaeiza,"Jun 17, 2022","Aug 5, 2022",2023-04-04 09:43:22,2022-08-05 00:00:00
asher102,"Nov 20, 2020",16 days ago,2023-04-04 09:43:27,2023-03-18 14:43:27
Yuaxmikami,"Aug 14, 2021","Jan 30, 2023",2023-04-04 09:43:31,2023-01-30 00:00:00
LucasMartr,"Jan 6, 2023",27 days ago,2023-04-04 09:43:36,2023-03-07 14:43:36
divitdivitdivit,"Oct 17, 2022",9 hours ago,2023-04-04 09:43:41,2023-04-03 05:43:41
MOT0M0T0,"Nov 26, 2022",4 days ago,2023-04-04 09:43:45,2023-03-30 14:43:45
ZHAPH,"May 30, 2022",9 days ago,2023-04-04 09:43:56,2023-03-25 14:43:56
Mashikoto_Haru,"Jan 9, 2022",2 hours ago,2023-04-04 09:44:01,2023-04-03 12:44:01
Ryunosuke_H,"Dec 18, 2020",1 day ago,2023-04-04 09:44:06,2023-04-02 14:44:06
gagoogin,"Jul 9, 2020","Jan 19, 2023",2023-04-04 09:44:11,2023-01-19 00:00:00
katiekachie,"May 30, 2022","Oct 13, 2022",2023-04-04 09:44:16,2022-10-13 00:00:00
conkkr,"Jan 9, 2023",6 days ago,2023-04-04 09:44:20,2023-03-28 14:44:20
Acixene,"Jan 3, 2023",1 hour ago,2023-04-04 09:44:25,2023-04-03 13:44:25
yukaributler,"Sep 7, 2022","Jan 28, 2023",2023-04-04 09:44:30,2023-01-28 00:00:00
flvght,"May 1, 2022",3 days ago,2023-04-04 09:44:35,2023-03-31 14:44:35
gerbert89,"Feb 1, 2022","Nov 12, 2022",2023-04-04 09:44:40,2022-11-12 00:00:00
bulbuio,"Aug 13, 2022","Dec 29, 2022",2023-04-04 09:44:45,2022-12-29 00:00:00
auaiaia,"Dec 12, 2021","Jan 19, 2023",2023-04-04 09:44:49,2023-01-19 00:00:00
Miyzaki,"Mar 20, 2023",2 days ago,2023-04-04 09:44:54,2023-04-01 14:44:54
Oldgeezer69,"Aug 23, 2022",1 day ago,2023-04-04 09:44:59,2023-04-02 14:44:59
MachoMagician,"Nov 24, 2019",10 hours ago,2023-04-04 09:45:04,2023-04-03 04:45:04
castleschess,"Jul 16, 2022","Jan 5, 2023",2023-04-04 09:45:08,2023-01-05 00:00:00
Shiho0430,"Jul 6, 2022",12 days ago,2023-04-04 09:45:13,2023-03-22 14:45:13
RECKELSS,"Oct 4, 2021",8 hours ago,2023-04-04 09:45:18,2023-04-03 06:45:18
baoanh1610,"Sep 9, 2021","May 20, 2022",2023-04-04 09:45:23,2022-05-20 00:00:00
Cobraman27,"Jan 30, 2023",17 days ago,2023-04-04 09:45:29,2023-03-17 14:45:29
newsnews,"Aug 2, 2022","Feb 17, 2023",2023-04-04 09:45:34,2023-02-17 00:00:00
erinafausett,"Feb 13, 2023",1 day ago,2023-04-04 09:45:39,2023-04-02 14:45:39
moondvsted,"Jan 30, 2023",1 day ago,2023-04-04 09:45:44,2023-04-02 14:45:44
makidako,"Nov 22, 2022",7 hours ago,2023-04-04 09:45:49,2023-04-03 07:45:49
brid01,"Oct 26, 2022",Just now,2023-04-04 09:45:53,2023-04-03 14:45:53
zawrd,"Jun 20, 2022",17 hours ago,2023-04-04 09:45:58,2023-04-02 21:45:58
Tinnco1919,"Jan 16, 2022",5 hours ago,2023-04-04 09:46:02,2023-04-03 09:46:02
makochandesu,"Dec 3, 2022",8 hours ago,2023-04-04 09:46:07,2023-04-03 06:46:07
Chendudo,"Sep 27, 2022",19 days ago,2023-04-04 09:46:12,2023-03-15 14:46:12
