Player name,Rating,Won,Draw,Lost
chillboyxo,1443,1502,54,1405
croure82,1442,4434,233,4360
andreastornes,1441,2752,128,2639
GoreScreamingShow39,1440,129,4,104
xelaarutin77,1440,93,4,41
Ruri_1999,1440,68,4,24
DeimasuBafutera,1440,143,5,105
ozzy2400,1440,12,1,14
zewti,1439,1254,85,1216
SpookyHalloween,1439,229,6,205
GojoSatoruLimitless,1439,19,0,1
MariaNakamura,1438,92,6,97
Antonia_1555,1438,727,39,681
sora1067,1437,492,17,460
HShota,1437,1107,110,1035
LLawliet482,1436,467,24,476
Rasec12345,1436,1085,14,1067
blackswan37,1436,162,9,148
sigyro,1436,4188,219,4160
MayurGondhalekar,1436,1667,170,1658
lolpsyxs,1436,62,2,44
KingParchy,1435,151,18,92
sumieeeeeeeeeee,1435,128,6,69
MaskOfDiamonds,1435,276,6,254
daibouinga14,1434,7594,278,7276
tsunaron,1434,16,6,10
WibuSadBoyy,1434,19,1,13
bruhthan,1433,2347,173,2252
TimeLeapMachine,1433,69,3,6
Rara-Ratnadilla,1433,163,2,103
Austin3277,1432,200,13,164
p3qu3noboy,1431,462,26,353
Celtics1469,1430,34,1,25
NixawCaranglan,1430,32,0,32
TenGetcu,1430,53,4,19
Ima-steal-your-crush,1430,16,0,6
k_odradek,1429,50,1,45
kuma0319,1429,333,35,285
acezoo,1428,349,28,281
Runzmayer,1428,4350,174,4243
AkunoRock,1428,41,0,9
jaerf,1428,126,8,83
Cheribe,1428,792,69,679
gentsst1906,1427,20,3,26
NanamiUrara,1427,63,1,24
