Player name,Rating,Won,Draw,Lost,Joined,Last Online,Scraping time,Last Online chess.com server time
bong1101,1961,3347.0,325.0,3109.0,"Oct 22, 2019",1 hour ago,2023-04-02 14:09:10,2023-04-01 18:09:10
BackPawn52,1961,262.0,24.0,216.0,"Sep 16, 2022",38 minutes ago,2023-04-02 14:09:16,2023-04-01 18:31:16
h8gi,1958,4018.0,314.0,3588.0,"Sep 2, 2019",2 hours ago,2023-04-02 14:09:23,2023-04-01 17:09:23
TetsuroHoshino,1957,606.0,22.0,625.0,"Jun 18, 2021",4 hours ago,2023-04-02 14:09:29,2023-04-01 15:09:29
Nitschnicolas,1956,774.0,147.0,721.0,"Feb 5, 2023",1 day ago,2023-04-02 14:09:36,2023-03-31 19:09:36
Azleaf-007,1955,1674.0,131.0,1626.0,"Jul 6, 2017",2 days ago,2023-04-02 14:09:43,2023-03-30 19:09:43
chikuwasenpai,1953,2480.0,247.0,2624.0,"Nov 9, 2015",17 days ago,2023-04-02 14:09:49,2023-03-15 19:09:49
shaghayegh1390,1953,351.0,23.0,235.0,"Jan 17, 2021",18 hours ago,2023-04-02 14:09:56,2023-04-01 01:09:56
cuteemeow,1952,260.0,15.0,110.0,"Jan 7, 2023",10 days ago,2023-04-02 14:10:02,2023-03-22 19:10:02
Inayat_0510,1950,253.0,12.0,132.0,"Mar 16, 2020",8 days ago,2023-04-02 14:10:09,2023-03-24 19:10:09
